task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
68.51,0.0,0.0,0.0,0.0,0.0,0,0,68.51,68.51
71.03,0.0,0.0,0.0,0.0,0.0,0,1,71.03,71.03
70.34,0.0,0.0,0.0,0.0,0.0,0,2,70.34,70.34
74.35,0.0,0.0,0.0,0.0,0.0,0,3,74.35,74.35
74.96,0.0,0.0,0.0,0.0,0.0,0,4,74.96,74.96
45.55,72.33,0.0,0.0,0.0,0.0,1,0,58.94,72.33
47.05,83.77,0.0,0.0,0.0,0.0,1,1,65.41,83.77
48.19,85.42,0.0,0.0,0.0,0.0,1,2,66.81,85.42
48.85,85.83,0.0,0.0,0.0,0.0,1,3,67.34,85.83
49.35,85.39,0.0,0.0,0.0,0.0,1,4,67.37,85.39
52.92,55.7,56.11,0.0,0.0,0.0,2,0,54.91,56.11
45.4,43.62,72.95,0.0,0.0,0.0,2,1,53.99,72.95
45.19,44.12,73.92,0.0,0.0,0.0,2,2,54.41,73.92
48.23,42.65,73.62,0.0,0.0,0.0,2,3,54.83,73.62
48.63,45.53,73.92,0.0,0.0,0.0,2,4,56.03,73.92
47.47,51.11,37.85,54.36,0.0,0.0,3,0,47.7,54.36
46.9,47.51,31.2,67.06,0.0,0.0,3,1,48.17,67.06
47.96,46.26,30.72,70.06,0.0,0.0,3,2,48.75,70.06
44.19,45.85,31.91,72.29,0.0,0.0,3,3,48.56,72.29
45.16,46.57,31.14,73.52,0.0,0.0,3,4,49.1,73.52
41.11,49.79,39.2,38.89,69.44,0.0,4,0,47.69,69.44
35.35,45.2,41.47,38.81,77.52,0.0,4,1,47.67,77.52
38.6,44.73,42.76,38.16,79.47,0.0,4,2,48.74,79.47
36.63,42.62,41.24,40.31,82.25,0.0,4,3,48.61,82.25
37.93,44.67,41.52,40.26,83.21,0.0,4,4,49.52,83.21
39.83,44.07,31.07,31.79,42.61,58.17,5,0,41.26,58.17
41.1,41.96,33.13,27.43,39.81,66.11,5,1,41.59,66.11
42.25,43.61,32.17,29.95,41.06,66.7,5,2,42.62,66.7
44.9,40.53,32.15,29.73,43.05,68.01,5,3,43.06,68.01
44.53,40.85,31.9,30.66,42.51,68.13,5,4,43.1,68.13
