task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,68.94,0.0,0.0,0.0,0.0,0.0,68.94,68.94
0,2,69.96,0.0,0.0,0.0,0.0,0.0,69.96,69.96
0,3,77.45,0.0,0.0,0.0,0.0,0.0,77.45,77.45
0,4,78.65,0.0,0.0,0.0,0.0,0.0,78.65,78.65
1,0,48.67,75.22,0.0,0.0,0.0,0.0,61.94,75.22
1,1,45.27,79.54,0.0,0.0,0.0,0.0,62.4,79.54
1,2,43.65,83.47,0.0,0.0,0.0,0.0,63.56,83.47
1,3,43.75,86.38,0.0,0.0,0.0,0.0,65.06,86.38
1,4,48.19,87.68,0.0,0.0,0.0,0.0,67.94,87.68
2,0,52.08,59.67,47.5,0.0,0.0,0.0,53.08,47.5
2,1,52.56,49.22,64.32,0.0,0.0,0.0,55.37,64.32
2,2,49.09,50.98,68.61,0.0,0.0,0.0,56.23,68.61
2,3,51.14,51.52,71.46,0.0,0.0,0.0,58.04,71.46
2,4,51.09,49.05,78.03,0.0,0.0,0.0,59.39,78.03
3,0,54.82,50.11,41.41,35.35,0.0,0.0,45.42,35.35
3,1,48.86,44.36,39.21,57.42,0.0,0.0,47.46,57.42
3,2,51.13,46.2,34.07,70.53,0.0,0.0,50.48,70.53
3,3,46.56,46.53,34.12,73.73,0.0,0.0,50.24,73.73
3,4,50.58,46.02,34.82,73.25,0.0,0.0,51.17,73.25
4,0,40.81,45.36,43.13,43.87,49.07,0.0,44.45,49.07
4,1,37.98,45.81,40.57,40.75,72.22,0.0,47.47,72.22
4,2,37.34,44.97,40.79,40.18,79.44,0.0,48.54,79.44
4,3,35.76,47.65,41.75,39.21,80.44,0.0,48.96,80.44
4,4,37.3,46.77,39.59,42.04,84.27,0.0,49.99,84.27
5,0,36.73,47.67,34.46,37.98,54.15,38.26,41.54,38.26
5,1,37.83,39.7,36.21,33.19,47.59,57.65,42.03,57.65
5,2,37.73,39.93,33.42,35.26,48.99,66.73,43.68,66.73
5,3,37.16,40.53,34.58,34.51,47.42,73.74,44.66,73.74
5,4,40.94,41.54,37.16,36.64,45.5,76.68,46.41,76.68
