task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.09,0.0,0.0,0.0,0.0,0.0,68.09,68.09
0,1,69.61,0.0,0.0,0.0,0.0,0.0,69.61,69.61
0,2,71.49,0.0,0.0,0.0,0.0,0.0,71.49,71.49
0,3,76.56,0.0,0.0,0.0,0.0,0.0,76.56,76.56
0,4,83.17,0.0,0.0,0.0,0.0,0.0,83.17,83.17
1,0,48.64,80.26,0.0,0.0,0.0,0.0,64.45,80.26
1,1,42.09,88.02,0.0,0.0,0.0,0.0,65.06,88.02
1,2,39.82,90.11,0.0,0.0,0.0,0.0,64.96,90.11
1,3,40.77,90.02,0.0,0.0,0.0,0.0,65.4,90.02
1,4,40.06,88.5,0.0,0.0,0.0,0.0,64.28,88.5
2,0,49.94,65.13,46.17,0.0,0.0,0.0,53.75,46.17
2,1,43.94,50.95,73.81,0.0,0.0,0.0,56.23,73.81
2,2,44.78,53.57,74.57,0.0,0.0,0.0,57.64,74.57
2,3,43.81,52.98,74.61,0.0,0.0,0.0,57.13,74.61
2,4,44.49,54.89,78.1,0.0,0.0,0.0,59.16,78.1
3,0,48.82,50.72,36.97,53.75,0.0,0.0,47.56,53.75
3,1,43.35,51.65,33.27,67.72,0.0,0.0,49.0,67.72
3,2,45.03,46.69,31.34,71.81,0.0,0.0,48.72,71.81
3,3,45.47,46.98,32.49,71.26,0.0,0.0,49.05,71.26
3,4,44.53,48.96,33.55,70.91,0.0,0.0,49.49,70.91
4,0,41.52,49.33,37.94,37.11,61.87,0.0,45.55,61.87
4,1,38.19,49.7,35.27,37.15,77.85,0.0,47.63,77.85
4,2,37.72,44.88,37.24,35.22,80.04,0.0,47.02,80.04
4,3,34.03,43.27,35.96,37.74,85.46,0.0,47.29,85.46
4,4,33.45,44.83,33.97,38.72,86.76,0.0,47.55,86.76
5,0,40.67,42.91,34.14,33.16,52.32,49.9,42.18,49.9
5,1,38.46,43.39,31.32,32.17,47.08,60.43,42.14,60.43
5,2,36.79,41.58,29.48,29.76,42.56,70.35,41.75,70.35
5,3,38.47,40.14,33.86,31.86,42.55,73.65,43.42,73.65
5,4,38.41,41.17,34.02,29.56,44.83,76.94,44.16,76.94
