task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,61.81,0.0,0.0,0.0,0.0,0.0,61.81,61.81
0,1,71.7,0.0,0.0,0.0,0.0,0.0,71.7,71.7
0,2,72.9,0.0,0.0,0.0,0.0,0.0,72.9,72.9
0,3,89.74,0.0,0.0,0.0,0.0,0.0,89.74,89.74
0,4,91.14,0.0,0.0,0.0,0.0,0.0,91.14,91.14
1,0,59.04,75.08,0.0,0.0,0.0,0.0,67.06,75.08
1,1,59.84,82.74,0.0,0.0,0.0,0.0,71.29,82.74
1,2,59.34,85.2,0.0,0.0,0.0,0.0,72.27,85.2
1,3,64.3,85.24,0.0,0.0,0.0,0.0,74.77,85.24
1,4,65.09,83.07,0.0,0.0,0.0,0.0,74.08,83.07
2,0,67.43,49.14,45.44,0.0,0.0,0.0,54.0,45.44
2,1,67.69,48.12,71.08,0.0,0.0,0.0,62.3,71.08
2,2,66.43,44.64,73.84,0.0,0.0,0.0,61.64,73.84
2,3,66.73,46.88,76.02,0.0,0.0,0.0,63.21,76.02
2,4,66.05,44.39,75.46,0.0,0.0,0.0,61.97,75.46
3,0,64.48,41.51,38.6,54.8,0.0,0.0,49.85,54.8
3,1,63.76,39.79,44.69,64.27,0.0,0.0,53.13,64.27
3,2,63.26,39.15,41.73,65.11,0.0,0.0,52.31,65.11
3,3,64.48,41.51,45.86,66.47,0.0,0.0,54.58,66.47
3,4,63.56,44.74,44.35,70.11,0.0,0.0,55.69,70.11
4,0,51.69,40.72,38.29,38.93,64.2,0.0,46.77,64.2
4,1,49.07,39.84,43.12,37.55,80.77,0.0,50.07,80.77
4,2,45.91,39.74,45.66,40.38,85.43,0.0,51.42,85.43
4,3,46.0,40.57,44.44,41.63,86.53,0.0,51.83,86.53
4,4,48.01,44.65,43.49,41.63,87.47,0.0,53.05,87.47
5,0,52.08,32.6,34.69,36.34,55.76,47.81,43.21,47.81
5,1,50.62,25.6,32.55,26.15,56.79,68.98,43.45,68.98
5,2,52.76,25.65,33.53,27.97,56.39,75.17,45.24,75.17
5,3,52.66,32.04,37.84,29.91,58.29,75.21,47.66,75.21
5,4,51.72,36.79,39.4,30.48,58.89,79.16,49.41,79.16
