task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.09,0.0,0.0,0.0,0.0,0.0,68.09,68.09
0,1,69.61,0.0,0.0,0.0,0.0,0.0,69.61,69.61
0,2,79.22,0.0,0.0,0.0,0.0,0.0,79.22,79.22
0,3,87.05,0.0,0.0,0.0,0.0,0.0,87.05,87.05
0,4,89.3,0.0,0.0,0.0,0.0,0.0,89.3,89.3
1,0,66.47,68.8,0.0,0.0,0.0,0.0,67.63,68.8
1,1,54.98,84.88,0.0,0.0,0.0,0.0,69.93,84.88
1,2,54.36,87.26,0.0,0.0,0.0,0.0,70.81,87.26
1,3,56.07,89.4,0.0,0.0,0.0,0.0,72.74,89.4
1,4,56.32,88.88,0.0,0.0,0.0,0.0,72.6,88.88
2,0,57.89,66.13,47.31,0.0,0.0,0.0,57.11,47.31
2,1,52.22,45.05,75.09,0.0,0.0,0.0,57.45,75.09
2,2,51.83,48.53,81.21,0.0,0.0,0.0,60.52,81.21
2,3,54.55,50.36,79.83,0.0,0.0,0.0,61.58,79.83
2,4,54.5,48.99,80.69,0.0,0.0,0.0,61.39,80.69
3,0,56.71,52.24,42.68,53.64,0.0,0.0,51.32,53.64
3,1,50.26,45.2,33.01,75.95,0.0,0.0,51.1,75.95
3,2,48.66,45.03,36.58,79.24,0.0,0.0,52.38,79.24
3,3,49.19,46.67,37.05,81.69,0.0,0.0,53.65,81.69
3,4,50.51,47.18,39.35,82.48,0.0,0.0,54.88,82.48
4,0,44.56,52.28,40.96,48.72,57.84,0.0,48.87,57.84
4,1,36.05,48.62,40.61,45.86,84.56,0.0,51.14,84.56
4,2,45.61,46.3,42.2,45.82,85.85,0.0,53.16,85.85
4,3,43.79,47.71,39.08,47.96,87.52,0.0,53.21,87.52
4,4,41.59,48.35,40.17,50.09,89.18,0.0,53.88,89.18
5,0,46.95,48.43,39.63,44.14,58.35,45.99,47.25,45.99
5,1,41.81,44.61,37.93,37.31,50.48,73.93,47.68,73.93
5,2,45.86,42.32,38.8,39.81,50.15,77.22,49.03,77.22
5,3,47.65,44.94,41.25,40.54,50.44,80.39,50.87,80.39
5,4,47.16,45.15,40.61,40.07,51.19,79.96,50.69,79.96
