task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
69.03,0.0,0.0,0.0,0.0,0.0,0,0,69.03,69.03
68.81,0.0,0.0,0.0,0.0,0.0,0,1,68.81,68.81
71.98,0.0,0.0,0.0,0.0,0.0,0,2,71.98,71.98
71.13,0.0,0.0,0.0,0.0,0.0,0,3,71.13,71.13
70.89,0.0,0.0,0.0,0.0,0.0,0,4,70.89,70.89
44.29,79.16,0.0,0.0,0.0,0.0,1,0,61.72,79.16
43.23,81.44,0.0,0.0,0.0,0.0,1,1,62.33,81.44
42.13,81.8,0.0,0.0,0.0,0.0,1,2,61.96,81.8
47.06,83.43,0.0,0.0,0.0,0.0,1,3,65.24,83.43
48.14,87.68,0.0,0.0,0.0,0.0,1,4,67.91,87.68
47.03,49.82,60.15,0.0,0.0,0.0,2,0,52.33,60.15
50.08,46.84,70.88,0.0,0.0,0.0,2,1,55.93,70.88
49.05,47.06,72.4,0.0,0.0,0.0,2,2,56.17,72.4
49.9,47.03,72.13,0.0,0.0,0.0,2,3,56.35,72.13
49.87,47.23,71.5,0.0,0.0,0.0,2,4,56.2,71.5
50.18,47.42,34.26,59.92,0.0,0.0,3,0,47.94,59.92
47.41,41.21,27.76,73.2,0.0,0.0,3,1,47.4,73.2
49.96,43.22,29.9,72.57,0.0,0.0,3,2,48.91,72.57
49.47,44.45,30.05,72.63,0.0,0.0,3,3,49.15,72.63
49.7,44.37,29.96,73.04,0.0,0.0,3,4,49.27,73.04
36.38,47.11,39.72,30.05,75.46,0.0,4,0,45.74,75.46
41.88,43.69,34.4,32.7,82.06,0.0,4,1,46.95,82.06
40.3,44.66,34.82,32.09,84.18,0.0,4,2,47.21,84.18
37.44,43.96,35.35,32.28,84.26,0.0,4,3,46.66,84.26
41.31,45.41,37.07,32.85,84.72,0.0,4,4,48.27,84.72
44.91,43.16,35.63,26.4,45.88,59.2,5,0,42.53,59.2
42.87,39.19,32.95,28.97,42.74,66.65,5,1,42.23,66.65
43.15,40.62,32.5,26.12,41.91,70.45,5,2,42.46,70.45
42.36,39.2,31.02,27.44,44.61,68.95,5,3,42.26,68.95
44.11,37.99,31.87,26.95,43.7,69.79,5,4,42.4,69.79
