task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
67.812,0.0,0.0,0.0,0.0,0.0,0,0,11.302,67.812,0.0
69.65799999999999,0.0,0.0,0.0,0.0,0.0,0,1,11.609666666666664,69.65799999999999,-1.8459999999999894
70.178,0.0,0.0,0.0,0.0,0.0,0,2,11.696333333333333,70.178,-0.5200000000000102
71.3,0.0,0.0,0.0,0.0,0.0,0,3,11.883333333333333,71.3,-1.1219999999999999
70.11,0.0,0.0,0.0,0.0,0.0,0,4,11.685,70.11,1.1899999999999977
46.722,53.05,0.0,0.0,0.0,0.0,1,0,16.628666666666664,49.885999999999996,24.577999999999996
45.318,55.17,0.0,0.0,0.0,0.0,1,1,16.748,50.244,11.930999999999997
47.472,57.05800000000001,0.0,0.0,0.0,0.0,1,2,17.421666666666667,52.265,10.969999999999995
46.736000000000004,56.936,0.0,0.0,0.0,0.0,1,3,17.278666666666666,51.836,12.343
46.576,57.116,0.0,0.0,0.0,0.0,1,4,17.282,51.846000000000004,12.333000000000002
39.944,51.118,30.327999999999996,0.0,0.0,0.0,2,0,20.23166666666667,40.46333333333334,18.676999999999996
38.928,44.984,45.356,0.0,0.0,0.0,2,1,21.544666666666668,43.089333333333336,9.825333333333331
38.354,43.69,45.56,0.0,0.0,0.0,2,2,21.267333333333333,42.534666666666666,15.389333333333333
38.432,45.074,46.198,0.0,0.0,0.0,2,3,21.617333333333335,43.23466666666667,14.757333333333333
37.354,44.544,46.71,0.0,0.0,0.0,2,4,21.43466666666667,42.86933333333334,15.335333333333333
39.854,42.622,40.260000000000005,11.996,0.0,0.0,3,0,22.455333333333332,33.683,17.46333333333333
45.836,36.974000000000004,32.948,20.04,0.0,0.0,3,1,22.633,33.9495,12.831
47.28,36.104,33.416000000000004,24.726,0.0,0.0,3,2,23.587666666666667,35.3815,13.409999999999998
47.932,37.78,32.924,28.508000000000003,0.0,0.0,3,3,24.524,36.786,13.176999999999998
48.062,36.013999999999996,35.215999999999994,29.830000000000002,0.0,0.0,3,4,24.853666666666665,37.280499999999996,13.628000000000004
48.8,37.222,32.57,25.046,20.614,0.0,4,0,27.37533333333333,32.85039999999999,15.3295
50.834,34.032,30.3,27.526,32.098,0.0,4,1,29.13166666666667,34.958000000000006,10.156
49.962,33.598,29.233999999999998,26.068,33.92,0.0,4,2,28.796999999999997,34.5564,12.854399999999998
50.562,33.824,29.536,26.877999999999997,34.458,0.0,4,3,29.209666666666664,35.05159999999999,12.723600000000001
50.315999999999995,36.378,30.321999999999996,27.272,34.04,0.0,4,4,29.72133333333333,35.6656,12.217200000000002
53.019999999999996,33.778,30.462,25.387999999999998,33.074,11.379999999999999,5,0,31.183666666666664,31.183666666666664,12.738400000000002
52.874,34.63,27.72,23.375999999999998,36.454,19.344,5,1,32.39966666666667,32.39966666666667,9.399333333333331
52.336,34.288,27.586000000000002,21.595999999999997,36.322,24.503999999999998,5,2,32.772,32.772,10.687000000000003
52.694,33.134,26.964,21.354,36.032,24.864,5,3,32.507,32.507,11.812
52.348,33.462,27.586000000000002,21.357999999999997,37.138,24.068,5,4,32.660000000000004,32.660000000000004,11.719
