task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
67.812,0.0,0.0,0.0,0.0,0.0,0,0,11.302,67.812,0.0
69.65799999999999,0.0,0.0,0.0,0.0,0.0,0,1,11.609666666666664,69.65799999999999,-1.8459999999999894
70.178,0.0,0.0,0.0,0.0,0.0,0,2,11.696333333333333,70.178,-0.5200000000000102
71.3,0.0,0.0,0.0,0.0,0.0,0,3,11.883333333333333,71.3,-1.1219999999999999
70.11,0.0,0.0,0.0,0.0,0.0,0,4,11.685,70.11,1.1899999999999977
48.3,55.181999999999995,0.0,0.0,0.0,0.0,1,0,17.247,51.741,23.0
52.338,57.878,0.0,0.0,0.0,0.0,1,1,18.369333333333334,55.108000000000004,8.132999999999996
52.646,57.646,0.0,0.0,0.0,0.0,1,2,18.382,55.146,9.442999999999998
49.148,58.212,0.0,0.0,0.0,0.0,1,3,17.893333333333334,53.68000000000001,10.908999999999995
47.132,60.422000000000004,0.0,0.0,0.0,0.0,1,4,17.925666666666668,53.777,10.979
37.284000000000006,52.470000000000006,29.466,0.0,0.0,0.0,2,0,19.870000000000005,39.74000000000001,20.983999999999995
39.239999999999995,50.525999999999996,46.414,0.0,0.0,0.0,2,1,22.69666666666667,45.39333333333334,8.336000000000004
39.832,49.818,49.766000000000005,0.0,0.0,0.0,2,2,23.236,46.472,12.906666666666666
39.284000000000006,49.402,50.042,0.0,0.0,0.0,2,3,23.121333333333336,46.24266666666667,14.253333333333332
42.716,51.626,51.402,0.0,0.0,0.0,2,4,24.290666666666667,48.58133333333333,12.006666666666668
42.904,47.620000000000005,40.980000000000004,13.254,0.0,0.0,3,0,24.126333333333335,36.1895,17.206666666666663
43.507999999999996,43.914,42.339999999999996,25.398,0.0,0.0,3,1,25.86,38.79,10.304500000000003
44.346000000000004,44.444,41.426,27.77,0.0,0.0,3,2,26.331000000000003,39.496500000000005,12.633999999999999
45.79,43.706,41.062,28.136000000000003,0.0,0.0,3,3,26.448999999999998,39.6735,13.05
47.042,45.624,40.501999999999995,30.498,0.0,0.0,3,4,27.277666666666665,40.9165,11.898500000000002
43.936,46.362,39.942,25.637999999999998,19.612000000000002,0.0,4,0,29.248333333333335,35.098,14.436
44.318,43.69199999999999,34.546,27.639999999999997,31.653999999999996,0.0,4,1,30.308333333333326,36.36999999999999,10.276800000000005
43.268,43.984,34.812,27.822000000000003,32.766,0.0,4,2,30.442000000000004,36.5304,12.5248
42.022000000000006,43.806,34.428,27.254,34.35,0.0,4,3,30.31,36.372,12.905599999999998
42.214,43.63,34.486000000000004,27.22,34.378,0.0,4,4,30.32133333333333,36.3856,13.208800000000002
44.108,43.19,35.525999999999996,23.194,32.546,13.691999999999998,5,0,32.04266666666667,32.04266666666667,13.887200000000002
44.334,41.726,32.42,20.15,34.454,19.112000000000002,5,1,32.032666666666664,32.032666666666664,11.582666666666666
46.221999999999994,43.892,33.07,21.028,36.112,20.994,5,2,33.553,33.553,10.978333333333333
46.146,43.302,32.51,21.235999999999997,34.534,21.624000000000002,5,3,33.22533333333333,33.22533333333333,11.896
46.298,43.45399999999999,33.013999999999996,20.336000000000002,34.446,22.194,5,4,33.29033333333333,33.29033333333333,11.936000000000002
