task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.09,0.0,0.0,0.0,0.0,0.0,68.09,68.09
0,1,69.75,0.0,0.0,0.0,0.0,0.0,69.75,69.75
0,2,71.08,0.0,0.0,0.0,0.0,0.0,71.08,71.08
0,3,80.71,0.0,0.0,0.0,0.0,0.0,80.71,80.71
0,4,81.84,0.0,0.0,0.0,0.0,0.0,81.84,81.84
1,0,54.17,78.64,0.0,0.0,0.0,0.0,66.4,78.64
1,1,43.01,82.51,0.0,0.0,0.0,0.0,62.76,82.51
1,2,42.16,87.3,0.0,0.0,0.0,0.0,64.73,87.3
1,3,43.23,86.16,0.0,0.0,0.0,0.0,64.69,86.16
1,4,49.06,92.33,0.0,0.0,0.0,0.0,70.69,92.33
2,0,49.68,62.52,54.15,0.0,0.0,0.0,55.45,54.15
2,1,45.75,56.28,66.69,0.0,0.0,0.0,56.24,66.69
2,2,42.96,53.04,73.92,0.0,0.0,0.0,56.64,73.92
2,3,47.4,53.82,76.51,0.0,0.0,0.0,59.24,76.51
2,4,50.87,52.16,81.56,0.0,0.0,0.0,61.53,81.56
3,0,49.81,51.25,45.85,50.87,0.0,0.0,49.44,50.87
3,1,47.55,51.59,42.27,62.73,0.0,0.0,51.04,62.73
3,2,47.88,49.21,39.88,72.27,0.0,0.0,52.31,72.27
3,3,47.42,48.97,40.33,73.41,0.0,0.0,52.53,73.41
3,4,46.23,51.36,41.35,75.41,0.0,0.0,53.59,75.41
4,0,39.23,46.36,37.69,48.93,65.83,0.0,47.61,65.83
4,1,39.08,49.77,36.7,43.0,73.68,0.0,48.45,73.68
4,2,40.8,47.97,36.77,41.15,85.58,0.0,50.45,85.58
4,3,40.94,46.35,40.74,45.58,86.48,0.0,52.02,86.48
4,4,40.1,49.97,39.65,42.8,88.0,0.0,52.1,88.0
5,0,40.54,47.33,33.7,42.2,52.35,47.97,44.02,47.97
5,1,39.14,44.16,33.23,38.68,46.99,59.48,43.61,59.48
5,2,40.77,46.99,37.48,34.38,49.21,74.4,47.21,74.4
5,3,38.71,47.99,36.08,34.1,47.1,77.08,46.84,77.08
5,4,42.0,45.27,36.91,35.24,47.93,80.5,47.98,80.5
