task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.09,0.0,0.0,0.0,0.0,0.0,68.09,68.09
0,1,69.75,0.0,0.0,0.0,0.0,0.0,69.75,69.75
0,2,71.08,0.0,0.0,0.0,0.0,0.0,71.08,71.08
0,3,80.71,0.0,0.0,0.0,0.0,0.0,80.71,80.71
0,4,81.84,0.0,0.0,0.0,0.0,0.0,81.84,81.84
1,0,57.05,74.68,0.0,0.0,0.0,0.0,65.87,74.68
1,1,46.25,80.8,0.0,0.0,0.0,0.0,63.52,80.8
1,2,49.32,84.87,0.0,0.0,0.0,0.0,67.1,84.87
1,3,48.69,89.44,0.0,0.0,0.0,0.0,69.06,89.44
1,4,50.62,90.18,0.0,0.0,0.0,0.0,70.4,90.18
2,0,55.84,63.06,47.75,0.0,0.0,0.0,55.55,47.75
2,1,47.41,50.42,69.98,0.0,0.0,0.0,55.94,69.98
2,2,49.2,49.96,79.4,0.0,0.0,0.0,59.52,79.4
2,3,49.42,51.4,81.09,0.0,0.0,0.0,60.64,81.09
2,4,51.58,51.22,80.76,0.0,0.0,0.0,61.19,80.76
3,0,51.94,52.45,48.26,51.01,0.0,0.0,50.92,51.01
3,1,43.35,49.98,37.81,72.31,0.0,0.0,50.86,72.31
3,2,45.5,48.73,39.08,79.49,0.0,0.0,53.2,79.49
3,3,44.18,45.77,39.76,82.38,0.0,0.0,53.02,82.38
3,4,44.73,46.15,40.87,81.97,0.0,0.0,53.43,81.97
4,0,39.99,51.49,44.44,56.33,61.07,0.0,50.66,61.07
4,1,37.52,47.41,41.39,43.43,81.55,0.0,50.26,81.55
4,2,39.6,53.37,41.31,46.08,85.66,0.0,53.2,85.66
4,3,36.04,51.57,41.2,45.24,88.09,0.0,52.43,88.09
4,4,38.18,50.03,41.97,45.17,87.64,0.0,52.6,87.64
5,0,42.36,50.77,40.57,45.61,58.91,48.57,47.8,48.57
5,1,40.0,46.26,37.64,38.53,49.88,65.59,46.32,65.59
5,2,42.1,43.51,37.12,40.8,47.52,76.0,47.84,76.0
5,3,42.8,45.04,37.02,40.08,50.17,79.43,49.09,79.43
5,4,42.6,47.65,43.51,41.36,52.18,83.09,51.73,83.09
