task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,69.52,0.0,0.0,0.0,0.0,0.0,69.52,69.52
0,2,69.19,0.0,0.0,0.0,0.0,0.0,69.19,69.19
0,3,70.29,0.0,0.0,0.0,0.0,0.0,70.29,70.29
0,4,75.97,0.0,0.0,0.0,0.0,0.0,75.97,75.97
1,0,35.69,76.62,0.0,0.0,0.0,0.0,56.16,76.62
1,1,37.36,79.4,0.0,0.0,0.0,0.0,58.38,79.4
1,2,38.04,79.88,0.0,0.0,0.0,0.0,58.96,79.88
1,3,36.89,79.84,0.0,0.0,0.0,0.0,58.36,79.84
1,4,37.81,79.52,0.0,0.0,0.0,0.0,58.66,79.52
2,0,51.42,52.13,42.02,0.0,0.0,0.0,48.52,42.02
2,1,53.65,46.06,49.71,0.0,0.0,0.0,49.81,49.71
2,2,47.57,41.81,54.23,0.0,0.0,0.0,47.87,54.23
2,3,48.83,45.02,54.18,0.0,0.0,0.0,49.34,54.18
2,4,48.72,44.32,55.06,0.0,0.0,0.0,49.37,55.06
3,0,50.81,42.57,30.53,36.38,0.0,0.0,40.07,36.38
3,1,49.32,47.26,28.96,42.41,0.0,0.0,41.99,42.41
3,2,50.44,46.39,29.36,43.88,0.0,0.0,42.52,43.88
3,3,49.36,45.24,29.5,45.23,0.0,0.0,42.33,45.23
3,4,47.18,47.33,30.1,48.59,0.0,0.0,43.3,48.59
4,0,42.12,38.9,32.26,34.4,39.19,0.0,37.37,39.19
4,1,40.56,39.09,34.48,35.86,43.91,0.0,38.78,43.91
4,2,39.52,39.89,33.68,36.32,46.91,0.0,39.26,46.91
4,3,38.58,39.65,34.17,41.37,50.65,0.0,40.88,50.65
4,4,39.9,42.34,35.02,41.03,50.49,0.0,41.76,50.49
5,0,35.49,36.93,28.24,37.5,33.89,41.73,35.63,41.73
5,1,35.49,38.63,27.58,35.12,33.11,45.7,35.94,45.7
5,2,33.97,37.49,28.55,35.63,35.89,44.87,36.07,44.87
5,3,33.17,37.4,28.63,37.23,34.45,49.0,36.65,49.0
5,4,35.16,36.96,28.71,37.75,35.96,50.79,37.56,50.79
