task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,69.52,0.0,0.0,0.0,0.0,0.0,69.52,69.52
0,2,69.19,0.0,0.0,0.0,0.0,0.0,69.19,69.19
0,3,70.29,0.0,0.0,0.0,0.0,0.0,70.29,70.29
0,4,75.97,0.0,0.0,0.0,0.0,0.0,75.97,75.97
1,0,41.74,71.67,0.0,0.0,0.0,0.0,56.7,71.67
1,1,34.82,77.34,0.0,0.0,0.0,0.0,56.08,77.34
1,2,35.45,77.77,0.0,0.0,0.0,0.0,56.61,77.77
1,3,34.23,77.62,0.0,0.0,0.0,0.0,55.92,77.62
1,4,32.73,77.92,0.0,0.0,0.0,0.0,55.32,77.92
2,0,42.07,60.51,40.29,0.0,0.0,0.0,47.62,40.29
2,1,41.06,42.74,53.0,0.0,0.0,0.0,45.6,53.0
2,2,40.88,44.44,53.88,0.0,0.0,0.0,46.4,53.88
2,3,43.17,46.75,54.17,0.0,0.0,0.0,48.03,54.17
2,4,43.71,46.13,55.25,0.0,0.0,0.0,48.36,55.25
3,0,40.73,47.56,29.79,33.78,0.0,0.0,37.96,33.78
3,1,47.62,41.37,27.65,50.62,0.0,0.0,41.82,50.62
3,2,45.42,42.01,27.94,54.04,0.0,0.0,42.35,54.04
3,3,44.66,39.18,26.1,57.15,0.0,0.0,41.77,57.15
3,4,44.01,39.96,25.54,56.96,0.0,0.0,41.62,56.96
4,0,36.64,39.14,34.77,34.62,39.22,0.0,36.88,39.22
4,1,34.01,47.73,31.05,34.06,46.83,0.0,38.74,46.83
4,2,28.62,48.02,34.74,35.24,55.19,0.0,40.36,55.19
4,3,29.44,46.93,34.63,37.24,56.34,0.0,40.92,56.34
4,4,28.28,43.32,34.07,38.1,60.09,0.0,40.77,60.09
5,0,32.8,40.19,31.62,36.39,37.43,34.7,35.52,34.7
5,1,34.01,39.93,32.26,38.37,35.6,38.29,36.41,38.29
5,2,33.81,36.3,33.37,38.96,36.52,42.03,36.83,42.03
5,3,35.13,35.63,28.79,36.26,34.29,47.31,36.24,47.31
5,4,36.66,35.11,28.08,34.76,32.7,48.83,36.02,48.83
