task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,69.49,0.0,0.0,0.0,0.0,0.0,69.49,69.49
0,2,69.25,0.0,0.0,0.0,0.0,0.0,69.25,69.25
0,3,73.94,0.0,0.0,0.0,0.0,0.0,73.94,73.94
0,4,77.89,0.0,0.0,0.0,0.0,0.0,77.89,77.89
1,0,37.1,79.65,0.0,0.0,0.0,0.0,58.38,79.65
1,1,36.76,81.02,0.0,0.0,0.0,0.0,58.89,81.02
1,2,35.87,81.65,0.0,0.0,0.0,0.0,58.76,81.65
1,3,36.08,82.92,0.0,0.0,0.0,0.0,59.5,82.92
1,4,34.6,81.81,0.0,0.0,0.0,0.0,58.2,81.81
2,0,48.49,50.83,42.74,0.0,0.0,0.0,47.35,42.74
2,1,50.63,42.16,57.93,0.0,0.0,0.0,50.24,57.93
2,2,51.33,41.84,60.05,0.0,0.0,0.0,51.07,60.05
2,3,50.99,41.87,62.03,0.0,0.0,0.0,51.63,62.03
2,4,50.86,41.09,62.11,0.0,0.0,0.0,51.35,62.11
3,0,47.39,48.96,31.69,39.42,0.0,0.0,41.86,39.42
3,1,50.25,45.04,31.64,47.16,0.0,0.0,43.52,47.16
3,2,50.27,46.1,30.16,49.38,0.0,0.0,43.98,49.38
3,3,48.7,46.94,29.39,55.08,0.0,0.0,45.03,55.08
3,4,49.12,45.84,30.03,61.74,0.0,0.0,46.68,61.74
4,0,39.23,39.09,37.24,36.28,50.66,0.0,40.5,50.66
4,1,40.36,41.98,37.53,35.4,54.55,0.0,41.96,54.55
4,2,35.5,40.45,37.26,36.55,60.53,0.0,42.06,60.53
4,3,37.3,43.45,35.76,40.06,67.91,0.0,44.9,67.91
4,4,38.66,43.55,33.96,41.32,71.28,0.0,45.75,71.28
5,0,39.92,37.07,30.15,34.95,45.04,37.36,37.42,37.36
5,1,40.36,36.19,28.73,33.1,45.88,39.27,37.26,39.27
5,2,36.3,34.63,29.8,34.31,49.55,45.54,38.36,45.54
5,3,38.86,36.45,30.46,34.33,48.07,48.12,39.38,48.12
5,4,37.74,35.95,30.05,34.16,48.21,50.26,39.39,50.26
