task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,68.65,0.0,0.0,0.0,0.0,0.0,68.65,68.65
0,1,69.49,0.0,0.0,0.0,0.0,0.0,69.49,69.49
0,2,69.25,0.0,0.0,0.0,0.0,0.0,69.25,69.25
0,3,73.94,0.0,0.0,0.0,0.0,0.0,73.94,73.94
0,4,77.89,0.0,0.0,0.0,0.0,0.0,77.89,77.89
1,0,37.1,79.65,0.0,0.0,0.0,0.0,58.38,79.65
1,1,33.62,81.38,0.0,0.0,0.0,0.0,57.5,81.38
1,2,38.17,83.65,0.0,0.0,0.0,0.0,60.91,83.65
1,3,35.11,84.51,0.0,0.0,0.0,0.0,59.81,84.51
1,4,39.05,87.54,0.0,0.0,0.0,0.0,63.3,87.54
2,0,54.02,54.6,43.16,0.0,0.0,0.0,50.59,43.16
2,1,51.16,49.58,61.94,0.0,0.0,0.0,54.23,61.94
2,2,50.92,50.84,66.82,0.0,0.0,0.0,56.19,66.82
2,3,49.99,49.61,70.79,0.0,0.0,0.0,56.8,70.79
2,4,49.29,49.84,71.26,0.0,0.0,0.0,56.8,71.26
3,0,51.78,50.68,34.86,37.39,0.0,0.0,43.68,37.39
3,1,49.49,47.44,36.7,50.25,0.0,0.0,45.97,50.25
3,2,49.05,49.62,35.34,55.3,0.0,0.0,47.33,55.3
3,3,49.28,46.69,31.79,64.7,0.0,0.0,48.11,64.7
3,4,47.05,47.17,33.15,69.55,0.0,0.0,49.23,69.55
4,0,37.23,41.95,33.35,44.82,48.15,0.0,41.1,48.15
4,1,36.02,42.06,36.14,44.31,55.73,0.0,42.85,55.73
4,2,38.53,47.14,34.71,43.79,68.87,0.0,46.61,68.87
4,3,38.11,45.17,37.42,42.93,73.46,0.0,47.42,73.46
4,4,36.63,43.62,34.85,44.81,81.21,0.0,48.22,81.21
5,0,36.6,39.97,34.13,38.35,46.19,40.21,39.24,40.21
5,1,37.41,39.91,29.64,38.31,46.2,53.52,40.83,53.52
5,2,38.91,37.55,32.33,37.71,47.77,60.94,42.54,60.94
5,3,40.63,38.52,29.46,36.84,46.87,65.92,43.04,65.92
5,4,40.44,37.7,28.5,35.36,43.46,68.36,42.3,68.36
