task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
70.832,0.0,0.0,0.0,0.0,0.0,0,0,11.805333333333332,70.832,0.0
69.97,0.0,0.0,0.0,0.0,0.0,0,1,11.661666666666667,69.97,0.8619999999999948
70.438,0.0,0.0,0.0,0.0,0.0,0,2,11.739666666666666,70.438,0.39399999999999125
70.692,0.0,0.0,0.0,0.0,0.0,0,3,11.781999999999998,70.692,0.14000000000000057
71.692,0.0,0.0,0.0,0.0,0.0,0,4,11.948666666666666,71.692,-0.8599999999999994
58.46,47.928000000000004,0.0,0.0,0.0,0.0,1,0,17.731333333333335,53.194,13.231999999999992
56.696000000000005,53.254,0.0,0.0,0.0,0.0,1,1,18.325,54.975,4.834999999999997
49.763999999999996,59.88599999999999,0.0,0.0,0.0,0.0,1,2,18.274999999999995,54.82499999999999,7.648000000000003
49.992000000000004,60.54,0.0,0.0,0.0,0.0,1,3,18.422,55.266000000000005,10.522999999999989
52.088,61.919999999999995,0.0,0.0,0.0,0.0,1,4,19.00133333333333,57.004,9.111999999999998
51.98,52.36,29.868000000000002,0.0,0.0,0.0,2,0,22.368,44.736,14.635999999999996
46.19,53.57000000000001,34.936,0.0,0.0,0.0,2,1,22.449333333333332,44.898666666666664,9.594666666666662
45.812,53.45399999999999,35.294,0.0,0.0,0.0,2,2,22.426666666666666,44.85333333333333,11.329333333333333
46.688,50.128,41.37,0.0,0.0,0.0,2,3,23.031000000000002,46.062000000000005,10.239999999999995
45.36,52.010000000000005,45.144,0.0,0.0,0.0,2,4,23.752333333333336,47.50466666666667,10.822666666666661
53.498000000000005,49.022000000000006,35.398,14.126,0.0,0.0,3,0,25.340666666666667,38.011,13.612666666666657
47.3,44.058,42.308,24.145999999999997,0.0,0.0,3,1,26.301999999999996,39.452999999999996,8.767499999999998
48.864,45.69,43.274,26.726,0.0,0.0,3,2,27.425666666666668,41.1385,9.586999999999996
46.736000000000004,45.16799999999999,44.312,34.906,0.0,0.0,3,3,28.520333333333337,42.7805,8.589999999999998
45.926,44.019999999999996,44.89,35.782,0.0,0.0,3,4,28.436333333333334,42.6545,10.760999999999997
47.696000000000005,45.114,36.894,33.394,27.625999999999998,0.0,4,0,31.787333333333336,38.144800000000004,12.859999999999996
44.162,40.562,31.022000000000002,33.538,42.388,0.0,4,1,31.945333333333334,38.3344,10.098399999999998
45.792,41.474000000000004,31.618000000000002,34.13,45.864,0.0,4,2,33.14633333333334,39.775600000000004,11.609599999999995
44.172000000000004,41.354,31.29,35.064,47.230000000000004,0.0,4,3,33.185,39.822,12.258399999999995
43.172000000000004,40.114,31.252,35.024,50.306,0.0,4,4,33.31133333333333,39.9736,12.379999999999999
47.678000000000004,41.333999999999996,32.464,32.068,41.584,16.133999999999997,5,0,35.21033333333333,35.21033333333333,13.943199999999996
45.007999999999996,38.916,29.660000000000004,28.424,43.732,30.99,5,1,36.12166666666667,36.12166666666667,10.707999999999998
46.846,37.206,28.97,27.407999999999998,41.928,34.074,5,2,36.071999999999996,36.071999999999996,13.233666666666663
45.324,36.256,28.669999999999998,28.580000000000002,43.084,35.88,5,3,36.299,36.299,13.520666666666662
44.592,36.352,30.598000000000003,30.026,43.646,37.596,5,4,37.135,37.135,12.985666666666665
