task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
68.51,0.0,0.0,0.0,0.0,0.0,0,0,68.51,68.51
67.99,0.0,0.0,0.0,0.0,0.0,0,1,67.99,67.99
67.35,0.0,0.0,0.0,0.0,0.0,0,2,67.35,67.35
67.64,0.0,0.0,0.0,0.0,0.0,0,3,67.64,67.64
68.48,0.0,0.0,0.0,0.0,0.0,0,4,68.48,68.48
41.48,74.03,0.0,0.0,0.0,0.0,1,0,57.76,74.03
34.29,83.98,0.0,0.0,0.0,0.0,1,1,59.14,83.98
33.61,86.15,0.0,0.0,0.0,0.0,1,2,59.88,86.15
35.37,85.24,0.0,0.0,0.0,0.0,1,3,60.3,85.24
34.69,85.13,0.0,0.0,0.0,0.0,1,4,59.91,85.13
46.53,59.54,55.97,0.0,0.0,0.0,2,0,54.01,55.97
50.48,49.04,68.03,0.0,0.0,0.0,2,1,55.85,68.03
49.6,49.06,69.18,0.0,0.0,0.0,2,2,55.95,69.18
48.5,47.15,74.54,0.0,0.0,0.0,2,3,56.73,74.54
50.43,49.62,72.76,0.0,0.0,0.0,2,4,57.6,72.76
45.5,47.51,34.39,61.33,0.0,0.0,3,0,47.18,61.33
45.35,44.75,30.84,67.64,0.0,0.0,3,1,47.14,67.64
43.34,45.92,29.34,70.39,0.0,0.0,3,2,47.25,70.39
44.06,43.0,27.31,72.48,0.0,0.0,3,3,46.71,72.48
43.76,42.14,26.8,74.07,0.0,0.0,3,4,46.69,74.07
39.19,44.69,41.98,36.1,68.65,0.0,4,0,46.12,68.65
40.25,44.82,42.95,37.18,75.23,0.0,4,1,48.09,75.23
36.16,46.75,42.61,39.63,77.62,0.0,4,2,48.55,77.62
37.06,46.46,39.85,37.64,80.05,0.0,4,3,48.21,80.05
37.51,47.08,39.97,39.0,82.43,0.0,4,4,49.2,82.43
41.61,44.28,34.19,32.31,39.62,53.11,5,0,40.85,53.11
39.24,41.28,30.3,33.03,38.43,64.06,5,1,41.06,64.06
40.24,42.55,30.13,30.14,39.75,65.11,5,2,41.32,65.11
40.36,42.37,29.44,29.85,36.13,65.87,5,3,40.67,65.87
41.68,43.01,30.11,30.81,37.22,67.12,5,4,41.66,67.12
