task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
72.034,0.0,0.0,0.0,0.0,0.0,0,0,12.005666666666668,72.034,0.0
71.036,0.0,0.0,0.0,0.0,0.0,0,1,11.839333333333334,71.036,0.9980000000000047
70.312,0.0,0.0,0.0,0.0,0.0,0,2,11.718666666666666,70.312,1.7220000000000084
70.334,0.0,0.0,0.0,0.0,0.0,0,3,11.722333333333333,70.334,1.7000000000000028
71.25800000000001,0.0,0.0,0.0,0.0,0.0,0,4,11.876333333333335,71.25800000000001,0.7759999999999962
70.30999999999999,0.0,0.0,0.0,0.0,0.0,0,5,11.718333333333332,70.30999999999999,1.724000000000018
69.272,0.0,0.0,0.0,0.0,0.0,0,6,11.545333333333334,69.272,2.7620000000000005
39.306,70.638,0.0,0.0,0.0,0.0,1,0,18.324,54.972,32.72800000000001
29.668,79.462,0.0,0.0,0.0,0.0,1,1,18.188333333333333,54.565,16.771000000000004
28.976,79.52000000000001,0.0,0.0,0.0,0.0,1,2,18.082666666666668,54.248000000000005,21.5
28.338,79.518,0.0,0.0,0.0,0.0,1,3,17.976,53.928,21.849000000000007
29.048000000000002,80.286,0.0,0.0,0.0,0.0,1,4,18.222333333333335,54.667,21.110000000000007
28.32,80.138,0.0,0.0,0.0,0.0,1,5,18.076333333333334,54.229,21.931
29.024,81.196,0.0,0.0,0.0,0.0,1,6,18.37,55.11,21.050000000000004
45.168,56.465999999999994,37.652,0.0,0.0,0.0,2,0,23.214333333333332,46.428666666666665,25.798000000000005
45.763999999999996,42.326,48.59,0.0,0.0,0.0,2,1,22.78,45.56,18.067333333333337
45.034000000000006,41.476,48.59,0.0,0.0,0.0,2,2,22.51666666666667,45.03333333333334,22.24
47.586,42.286,50.012,0.0,0.0,0.0,2,3,23.314000000000004,46.62800000000001,20.645333333333337
48.586,43.374,49.382,0.0,0.0,0.0,2,4,23.557000000000002,47.114000000000004,20.633333333333336
48.644,43.374,49.565999999999995,0.0,0.0,0.0,2,5,23.597333333333335,47.19466666666667,20.55266666666667
50.148,39.892,50.884,0.0,0.0,0.0,2,6,23.487333333333336,46.97466666666667,20.772666666666666
51.74400000000001,42.178,32.044,24.182,0.0,0.0,3,0,25.024666666666665,37.537,26.049333333333333
49.158,34.202,26.744,37.646,0.0,0.0,3,1,24.625,36.9375,20.1365
50.248000000000005,33.29,28.424,37.476,0.0,0.0,3,2,24.906333333333336,37.359500000000004,23.080500000000004
50.004,33.82,29.086000000000002,39.333999999999996,0.0,0.0,3,3,25.374,38.061,22.379000000000005
49.67,33.760000000000005,29.02,39.544,0.0,0.0,3,4,25.332333333333334,37.9985,22.863500000000002
46.842,39.001999999999995,29.668,42.513999999999996,0.0,0.0,3,5,26.337666666666667,39.5065,21.408
46.339999999999996,39.114,29.742,42.992000000000004,0.0,0.0,3,6,26.364666666666665,39.547,22.11
50.46,33.153999999999996,28.357999999999997,29.153999999999996,41.112,0.0,4,0,30.373,36.4476,26.495000000000008
46.428,28.536,29.542,25.804000000000002,55.410000000000004,0.0,4,1,30.953333333333333,37.144,20.4996
46.260000000000005,32.45399999999999,27.326,27.816000000000003,55.04200000000001,0.0,4,2,31.483,37.7796,22.7236
45.82,32.664,27.45,27.434000000000005,56.604,0.0,4,3,31.662000000000006,37.994400000000006,22.5088
44.072,33.69,26.133999999999997,26.363999999999997,58.052,0.0,4,4,31.38533333333333,37.6624,23.0796
44.466,32.126,27.645999999999997,26.827999999999996,59.955999999999996,0.0,4,5,31.837,38.2044,22.827200000000005
44.410000000000004,32.156,27.676,26.494,60.07000000000001,0.0,4,6,31.801,38.161199999999994,23.2512
48.376,29.442,29.162,24.996,36.496,25.362000000000002,5,0,32.30566666666667,32.30566666666667,27.740800000000007
46.257999999999996,28.8,23.517999999999997,20.984,32.616,32.546,5,1,30.786999999999995,30.786999999999995,24.636000000000006
45.736000000000004,29.28,24.458000000000002,21.618000000000002,33.733999999999995,32.532,5,2,31.226333333333333,31.226333333333333,25.394000000000005
45.888,30.046,26.663999999999998,22.69,33.792,32.38,5,3,31.909999999999997,31.909999999999997,24.710333333333335
46.178,30.252,28.107999999999997,22.084,32.512,32.94,5,4,32.01233333333333,32.01233333333333,24.608000000000004
46.832,30.663999999999998,29.160000000000004,23.034,32.574,33.176,5,5,32.57333333333333,32.57333333333333,24.112666666666666
46.562,30.722,29.282,23.034,32.604,33.088,5,6,32.54866666666667,32.54866666666667,24.176666666666666
