task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
72.034,0.0,0.0,0.0,0.0,0.0,0,0,12.005666666666668,72.034,0.0
71.146,0.0,0.0,0.0,0.0,0.0,0,1,11.857666666666667,71.146,0.8880000000000052
69.85,0.0,0.0,0.0,0.0,0.0,0,2,11.641666666666666,69.85,2.1840000000000117
69.848,0.0,0.0,0.0,0.0,0.0,0,3,11.641333333333334,69.848,2.186000000000007
70.05,0.0,0.0,0.0,0.0,0.0,0,4,11.674999999999999,70.05,1.9840000000000089
43.89,70.90799999999999,0.0,0.0,0.0,0.0,1,0,19.133,57.398999999999994,28.144000000000005
39.826,71.904,0.0,0.0,0.0,0.0,1,1,18.621666666666666,55.864999999999995,15.605999999999998
39.862,71.202,0.0,0.0,0.0,0.0,1,2,18.510666666666665,55.532,16.437
40.106,70.72999999999999,0.0,0.0,0.0,0.0,1,3,18.472666666666665,55.41799999999999,16.551000000000005
34.938,72.54400000000001,0.0,0.0,0.0,0.0,1,4,17.913666666666668,53.74100000000001,18.227999999999994
39.676,51.866,44.974000000000004,0.0,0.0,0.0,2,0,22.75266666666667,45.50533333333334,26.518000000000008
38.660000000000004,49.698,47.44,0.0,0.0,0.0,2,1,22.633,45.266,17.918000000000006
39.428,46.342,50.94,0.0,0.0,0.0,2,2,22.784999999999997,45.56999999999999,18.436000000000007
40.934000000000005,45.989999999999995,51.872,0.0,0.0,0.0,2,3,23.132666666666665,46.26533333333333,18.907333333333337
40.882,45.636,52.044000000000004,0.0,0.0,0.0,2,4,23.093666666666667,46.187333333333335,19.296000000000003
44.564,41.730000000000004,40.339999999999996,16.372,0.0,0.0,3,0,23.834333333333337,35.75150000000001,23.32933333333334
43.634,46.322,37.428,25.19,0.0,0.0,3,1,25.429000000000002,38.1435,15.105000000000008
45.102,42.634,37.04,27.812,0.0,0.0,3,2,25.43133333333333,38.147,17.306000000000008
44.956,43.588,37.486000000000004,29.389999999999997,0.0,0.0,3,3,25.903333333333336,38.855000000000004,17.253500000000003
42.832,44.552,37.644,31.714,0.0,0.0,3,4,26.123666666666665,39.1855,17.317500000000006
47.784,35.94,32.906,26.291999999999994,30.014,0.0,4,0,28.822666666666667,34.5872,21.353500000000004
48.418,34.42,34.542,24.766,38.010000000000005,0.0,4,1,30.026,36.0312,15.638800000000003
48.214,33.862,34.788,25.701999999999998,38.727999999999994,0.0,4,2,30.215666666666664,36.258799999999994,17.010400000000008
47.798,34.892,34.996,25.648000000000003,38.55,0.0,4,3,30.314000000000004,36.3768,17.036
47.592,35.098,35.088,25.71,38.396,0.0,4,4,30.314000000000004,36.3768,17.036
45.251999999999995,34.844,34.452,24.9,33.852,20.97,5,0,32.37833333333334,32.37833333333334,18.752800000000008
44.926,32.188,33.494,24.253999999999998,34.072,21.772,5,1,31.784333333333333,31.784333333333333,16.221333333333334
45.692,31.744,34.718,25.974,34.696000000000005,24.136000000000003,5,2,32.82666666666667,32.82666666666667,15.312666666666667
45.754,32.688,34.536,27.076,34.728,24.142000000000003,5,3,33.154,33.154,15.37933333333334
46.086,34.006,34.176,26.869999999999997,33.4,24.078,5,4,33.10266666666667,33.10266666666667,15.43166666666667
