task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
71.772,0.0,0.0,0.0,0.0,0.0,0,0,11.962000000000002,71.772,0.0
71.35,0.0,0.0,0.0,0.0,0.0,0,1,11.891666666666666,71.35,0.42200000000001125
72.614,0.0,0.0,0.0,0.0,0.0,0,2,12.102333333333334,72.614,-0.8419999999999987
72.338,0.0,0.0,0.0,0.0,0.0,0,3,12.056333333333333,72.338,0.27600000000001046
72.438,0.0,0.0,0.0,0.0,0.0,0,4,12.073,72.438,0.17600000000000193
44.65,56.35,0.0,0.0,0.0,0.0,1,0,16.833333333333332,50.5,27.964000000000006
40.414,58.114,0.0,0.0,0.0,0.0,1,1,16.421333333333333,49.263999999999996,15.218000000000004
42.168,58.83200000000001,0.0,0.0,0.0,0.0,1,2,16.833333333333332,50.5,14.863999999999997
40.282,59.751999999999995,0.0,0.0,0.0,0.0,1,3,16.67233333333333,50.016999999999996,15.70600000000001
36.714,61.54,0.0,0.0,0.0,0.0,1,4,16.375666666666664,49.126999999999995,17.056
38.05,48.992,34.004000000000005,0.0,0.0,0.0,2,0,20.174333333333333,40.34866666666667,23.556000000000004
38.116,51.604,33.528,0.0,0.0,0.0,2,1,20.54133333333333,41.08266666666666,14.970000000000004
35.260000000000005,50.618,35.406,0.0,0.0,0.0,2,2,20.214000000000002,40.428000000000004,15.624666666666668
34.4,49.94,36.004000000000005,0.0,0.0,0.0,2,3,20.057333333333336,40.11466666666667,16.405333333333335
34.156,49.138,37.583999999999996,0.0,0.0,0.0,2,4,20.14633333333333,40.29266666666666,16.426666666666673
38.998000000000005,47.554,30.3,10.102,0.0,0.0,3,0,21.159000000000002,31.738500000000002,18.295333333333332
35.708000000000006,43.246,34.874,17.662,0.0,0.0,3,1,21.915000000000003,32.8725,12.587499999999999
36.388,43.068,31.6,23.046,0.0,0.0,3,2,22.350333333333328,33.525499999999994,13.8245
36.914,43.89,36.374,28.01,0.0,0.0,3,3,24.197999999999997,36.297,12.398999999999997
35.742000000000004,43.684000000000005,37.818,28.372000000000003,0.0,0.0,3,4,24.269333333333336,36.404,13.532999999999998
40.146,39.272000000000006,30.77,23.558,27.734,0.0,4,0,26.913333333333338,32.29600000000001,16.6495
34.97,37.436,26.816000000000003,25.822000000000003,32.164,0.0,4,1,26.201333333333338,31.441600000000005,14.174000000000001
37.038,39.918,29.726,27.774,33.398,0.0,4,2,27.975666666666665,33.5708,12.9308
36.732,40.098,29.127999999999997,29.442,36.224000000000004,0.0,4,3,28.604000000000003,34.3248,12.423600000000004
36.682,40.806,29.4,29.056,36.284,0.0,4,4,28.704666666666668,34.4456,13.081999999999999
35.022000000000006,40.001999999999995,32.338,22.966,28.094,18.357999999999997,5,0,29.463333333333335,29.463333333333335,15.8552
35.489999999999995,37.083999999999996,30.492,21.0,30.203999999999997,23.34,5,1,29.601666666666663,29.601666666666663,13.074333333333335
34.806,40.434000000000005,30.413999999999998,22.919999999999998,30.844,25.768,5,2,30.864333333333335,30.864333333333335,12.642000000000001
35.974000000000004,39.722,29.258,22.496,31.964,26.871999999999996,5,3,31.04766666666666,31.04766666666666,12.863333333333332
35.622,39.662,29.465999999999998,22.468,32.388,27.736,5,4,31.223666666666663,31.223666666666663,12.871333333333334
