task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
72.034,0.0,0.0,0.0,0.0,0.0,0,0,12.005666666666668,72.034,0.0
71.036,0.0,0.0,0.0,0.0,0.0,0,1,11.839333333333334,71.036,0.9980000000000047
70.312,0.0,0.0,0.0,0.0,0.0,0,2,11.718666666666666,70.312,1.7220000000000084
70.334,0.0,0.0,0.0,0.0,0.0,0,3,11.722333333333333,70.334,1.7000000000000028
71.25800000000001,0.0,0.0,0.0,0.0,0.0,0,4,11.876333333333335,71.25800000000001,0.7759999999999962
35.156,75.412,0.0,0.0,0.0,0.0,1,0,18.428,55.284000000000006,36.87800000000001
27.094,79.806,0.0,0.0,0.0,0.0,1,1,17.816666666666666,53.45,20.273000000000007
26.406,79.572,0.0,0.0,0.0,0.0,1,2,17.663,52.989000000000004,22.931
25.538,79.336,0.0,0.0,0.0,0.0,1,3,17.479,52.437,23.483000000000004
24.524,79.364,0.0,0.0,0.0,0.0,1,4,17.314666666666668,51.944,23.976
32.048,48.934000000000005,51.394000000000005,0.0,0.0,0.0,2,0,22.06266666666667,44.12533333333334,35.429
28.938,36.89,60.86800000000001,0.0,0.0,0.0,2,1,21.116000000000003,42.232000000000006,25.512666666666664
30.79,34.432,61.738,0.0,0.0,0.0,2,2,21.16,42.32,28.582666666666668
33.412,30.318,63.04600000000001,0.0,0.0,0.0,2,3,21.129333333333335,42.25866666666667,28.934
33.326,31.464,63.746,0.0,0.0,0.0,2,4,21.422666666666668,42.845333333333336,28.783333333333342
45.221999999999994,36.384,43.80200000000001,19.79,0.0,0.0,3,0,24.19966666666667,36.2995,30.05933333333333
45.346000000000004,33.495999999999995,41.914,36.456,0.0,0.0,3,1,26.201999999999998,39.303,19.541000000000004
43.494,34.71,40.7,38.848,0.0,0.0,3,2,26.292,39.438,23.572499999999998
43.486000000000004,34.558,35.836,44.586,0.0,0.0,3,3,26.411,39.6165,23.991999999999997
44.40599999999999,35.382,33.564,49.036,0.0,0.0,3,4,27.064666666666664,40.596999999999994,24.446000000000005
49.964,29.2,33.544,30.444,38.86,0.0,4,0,30.335333333333335,36.4024,30.367500000000003
48.706,25.23,35.558,26.004,47.08,0.0,4,1,30.429666666666662,36.51559999999999,24.180799999999998
49.638,25.372,34.572,24.607999999999997,50.588,0.0,4,2,30.796333333333333,36.9556,25.384800000000002
48.134,26.256,35.5,25.665999999999997,51.388,0.0,4,3,31.15733333333333,37.388799999999996,25.653200000000005
48.339999999999996,27.115999999999996,34.584,25.136000000000003,51.791999999999994,0.0,4,4,31.16133333333333,37.3936,25.808400000000006
49.29,28.046000000000003,32.232,28.080000000000002,35.206,16.438,5,0,31.548666666666662,31.548666666666662,28.712
47.096000000000004,22.394,31.907999999999998,27.122000000000003,34.739999999999995,20.482,5,1,30.623666666666665,30.623666666666665,24.851666666666663
47.480000000000004,22.657999999999998,31.845999999999997,26.974,35.07,20.906,5,2,30.822333333333333,30.822333333333333,25.327
47.598,22.75,31.606,27.424,35.04,20.875999999999998,5,3,30.882333333333335,30.882333333333335,25.337666666666664
47.54,22.982,31.695999999999998,27.453999999999997,34.95,20.637999999999998,5,4,30.87666666666667,30.87666666666667,25.343333333333334
