task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
70.388,0.0,0.0,0.0,0.0,0.0,0,0,11.731333333333334,70.388,0.0
70.67999999999999,0.0,0.0,0.0,0.0,0.0,0,1,11.78,70.67999999999999,-0.2919999999999874
70.324,0.0,0.0,0.0,0.0,0.0,0,2,11.720666666666666,70.324,0.35599999999999454
70.478,0.0,0.0,0.0,0.0,0.0,0,3,11.746333333333332,70.478,0.20199999999999818
70.924,0.0,0.0,0.0,0.0,0.0,0,4,11.820666666666668,70.924,-0.24400000000001398
50.658,54.25599999999999,0.0,0.0,0.0,0.0,1,0,17.485666666666663,52.456999999999994,20.266000000000005
51.638,55.58399999999999,0.0,0.0,0.0,0.0,1,1,17.87033333333333,53.61099999999999,8.979000000000006
51.782000000000004,54.99400000000001,0.0,0.0,0.0,0.0,1,2,17.796000000000003,53.388000000000005,9.865999999999993
51.972,54.726,0.0,0.0,0.0,0.0,1,3,17.783,53.349000000000004,9.904999999999998
51.968,54.306,0.0,0.0,0.0,0.0,1,4,17.712333333333333,53.137,10.116999999999997
41.032,51.007999999999996,37.553999999999995,0.0,0.0,0.0,2,0,21.599,43.198,17.234
36.39,49.647999999999996,38.772000000000006,0.0,0.0,0.0,2,1,20.801666666666666,41.60333333333333,13.083999999999996
36.412,48.910000000000004,39.544,0.0,0.0,0.0,2,2,20.811,41.622,13.471333333333334
37.098,48.912,39.604,0.0,0.0,0.0,2,3,20.935666666666666,41.87133333333333,13.479333333333331
39.218,48.704,44.136,0.0,0.0,0.0,2,4,22.009666666666664,44.01933333333333,11.35133333333333
41.007999999999996,38.974000000000004,37.774,23.462,0.0,0.0,3,0,23.53633333333333,35.3045,17.62933333333333
40.464,42.95399999999999,43.09,27.503999999999998,0.0,0.0,3,1,25.668666666666667,38.503,10.023500000000002
41.886,42.396,43.622,29.07,0.0,0.0,3,2,26.162333333333336,39.243500000000004,10.293499999999998
40.41799999999999,41.096000000000004,44.891999999999996,31.758,0.0,0.0,3,3,26.360666666666663,39.541,10.387500000000003
40.81,41.218,44.626,31.698,0.0,0.0,3,4,26.392,39.588,11.201499999999996
40.912,38.256,37.882,28.345999999999997,19.328,0.0,4,0,27.454000000000004,32.9448,14.4405
43.230000000000004,40.528,39.25,32.188,26.424,0.0,4,1,30.270000000000007,36.324000000000005,8.173199999999998
40.782,39.79,39.25,33.03,29.618000000000002,0.0,4,2,30.411666666666665,36.494,9.508399999999998
41.628,40.528000000000006,38.358,30.958000000000006,34.126,0.0,4,3,30.933000000000003,37.119600000000005,9.689999999999998
40.708,39.702,37.965999999999994,31.258,34.548,0.0,4,4,30.697,36.8364,10.8748
40.954,39.856,40.118,28.169999999999998,26.75,18.752000000000002,5,0,32.43333333333333,32.43333333333333,12.626
42.168,39.11,37.82,24.296,28.009999999999998,25.580000000000002,5,1,32.830666666666666,32.830666666666666,10.124333333333333
42.562,39.998000000000005,36.358,22.994,27.609999999999996,25.016,5,2,32.422999999999995,32.422999999999995,11.670000000000002
42.29,39.85,34.8,21.732,26.496,28.65,5,3,32.303000000000004,32.303000000000004,11.790000000000001
42.291999999999994,39.174,33.898,21.73,27.458,29.127999999999997,5,4,32.279999999999994,32.279999999999994,12.324666666666667
