task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
68.51,0.0,0.0,0.0,0.0,0.0,0,0,68.51,68.51
68.31,0.0,0.0,0.0,0.0,0.0,0,1,68.31,68.31
66.73,0.0,0.0,0.0,0.0,0.0,0,2,66.73,66.73
64.44,0.0,0.0,0.0,0.0,0.0,0,3,64.44,64.44
63.37,0.0,0.0,0.0,0.0,0.0,0,4,63.37,63.37
35.98,72.09,0.0,0.0,0.0,0.0,1,0,54.04,72.09
32.04,74.53,0.0,0.0,0.0,0.0,1,1,53.28,74.53
27.32,78.82,0.0,0.0,0.0,0.0,1,2,53.07,78.82
27.5,78.18,0.0,0.0,0.0,0.0,1,3,52.84,78.18
29.78,79.33,0.0,0.0,0.0,0.0,1,4,54.56,79.33
40.32,51.23,57.33,0.0,0.0,0.0,2,0,49.63,57.33
39.86,52.4,60.49,0.0,0.0,0.0,2,1,50.92,60.49
40.52,49.92,61.8,0.0,0.0,0.0,2,2,50.75,61.8
40.5,49.36,61.91,0.0,0.0,0.0,2,3,50.59,61.91
40.01,48.36,62.21,0.0,0.0,0.0,2,4,50.19,62.21
43.39,51.07,37.03,55.01,0.0,0.0,3,0,46.62,55.01
42.66,48.65,34.55,59.87,0.0,0.0,3,1,46.43,59.87
46.33,44.44,29.88,63.36,0.0,0.0,3,2,46.0,63.36
46.2,44.06,27.69,65.88,0.0,0.0,3,3,45.96,65.88
47.03,45.82,27.07,65.7,0.0,0.0,3,4,46.4,65.7
36.63,39.3,37.41,36.44,70.99,0.0,4,0,44.15,70.99
37.84,37.33,38.85,36.48,71.29,0.0,4,1,44.36,71.29
35.35,41.6,38.36,37.65,72.35,0.0,4,2,45.06,72.35
35.8,42.34,37.29,37.17,73.84,0.0,4,3,45.29,73.84
33.17,41.86,36.25,35.47,77.38,0.0,4,4,44.83,77.38
36.24,41.98,34.5,31.99,40.32,52.99,5,0,39.67,52.99
35.99,41.85,33.7,29.71,38.05,53.09,5,1,38.73,53.09
36.46,41.88,34.42,29.15,37.63,51.48,5,2,38.5,51.48
36.44,41.44,34.75,30.29,39.13,51.45,5,3,38.92,51.45
36.78,41.06,35.56,30.77,38.51,51.71,5,4,39.07,51.71
