task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
72.034,0.0,0.0,0.0,0.0,0.0,0,0,12.005666666666668,72.034,0.0
71.228,0.0,0.0,0.0,0.0,0.0,0,1,11.871333333333332,71.228,0.8060000000000116
36.634,74.53999999999999,0.0,0.0,0.0,0.0,1,0,18.529,55.586999999999996,35.400000000000006
32.269999999999996,75.272,0.0,0.0,0.0,0.0,1,1,17.923666666666666,53.771,19.516
33.208,52.992000000000004,49.660000000000004,0.0,0.0,0.0,2,0,22.643333333333334,45.28666666666667,30.553000000000004
27.97,50.471999999999994,55.038,0.0,0.0,0.0,2,1,22.246666666666666,44.49333333333333,21.16200000000001
37.53,44.086,37.38,22.228,0.0,0.0,3,0,23.537333333333336,35.306000000000004,27.78266666666667
34.424,42.062,36.458,39.629999999999995,0.0,0.0,3,1,25.429,38.143499999999996,17.999500000000005
43.346000000000004,35.42,38.44,22.484,37.054,0.0,4,0,29.457333333333334,35.3488,25.570999999999998
37.025999999999996,33.766,36.827999999999996,22.256,47.182,0.0,4,1,29.509666666666664,35.4116,20.394000000000002
41.428,39.972,40.386,20.348000000000003,36.148,18.074,5,0,32.726000000000006,32.726000000000006,22.174799999999998
39.462,38.958000000000006,37.432,21.522,33.248000000000005,24.956,5,1,32.596333333333334,32.596333333333334,18.608666666666664
