task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
72.034,0.0,0.0,0.0,0.0,0.0,0,0,12.005666666666668,72.034,0.0
71.228,0.0,0.0,0.0,0.0,0.0,0,1,11.871333333333332,71.228,0.8060000000000116
36.634,74.53999999999999,0.0,0.0,0.0,0.0,1,0,18.529,55.586999999999996,35.400000000000006
26.856,79.578,0.0,0.0,0.0,0.0,1,1,17.739,53.217,20.069999999999997
36.38,53.431999999999995,45.678,0.0,0.0,0.0,2,0,22.581666666666667,45.163333333333334,30.900000000000006
36.226,48.592,55.262,0.0,0.0,0.0,2,1,23.346666666666664,46.69333333333333,19.070000000000004
44.156,43.352,41.522000000000006,23.384,0.0,0.0,3,0,25.40233333333333,38.1035,25.948000000000004
41.378,39.076,37.846000000000004,32.164,0.0,0.0,3,1,25.077333333333332,37.616,19.948500000000003
46.138,35.322,42.944,19.875999999999998,30.788,0.0,4,0,29.178,35.013600000000004,23.689500000000002
40.862,34.58,40.053999999999995,19.253999999999998,40.727999999999994,0.0,4,1,29.246333333333336,35.095600000000005,18.869600000000002
44.164,28.815999999999995,37.426,21.674,28.96,21.248,5,0,30.38133333333333,30.38133333333333,23.7452
44.188,25.642000000000003,34.83,18.34,28.43,31.764,5,1,30.532333333333337,30.532333333333337,19.63666666666667
