task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
68.51,0.0,0.0,0.0,0.0,0.0,0,0,68.51,68.51
68.19,0.0,0.0,0.0,0.0,0.0,0,1,68.19,68.19
66.91,0.0,0.0,0.0,0.0,0.0,0,2,66.91,66.91
64.79,0.0,0.0,0.0,0.0,0.0,0,3,64.79,64.79
64.49,0.0,0.0,0.0,0.0,0.0,0,4,64.49,64.49
35.87,71.61,0.0,0.0,0.0,0.0,1,0,53.74,71.61
31.93,77.55,0.0,0.0,0.0,0.0,1,1,54.74,77.55
31.54,78.84,0.0,0.0,0.0,0.0,1,2,55.19,78.84
32.76,81.3,0.0,0.0,0.0,0.0,1,3,57.03,81.3
33.78,83.0,0.0,0.0,0.0,0.0,1,4,58.39,83.0
43.62,49.82,58.39,0.0,0.0,0.0,2,0,50.61,58.39
43.59,47.36,63.56,0.0,0.0,0.0,2,1,51.5,63.56
42.25,48.04,64.2,0.0,0.0,0.0,2,2,51.5,64.2
43.73,49.01,68.88,0.0,0.0,0.0,2,3,53.87,68.88
41.44,45.94,71.04,0.0,0.0,0.0,2,4,52.81,71.04
45.47,45.91,33.8,55.33,0.0,0.0,3,0,45.13,55.33
40.07,45.64,28.75,63.11,0.0,0.0,3,1,44.39,63.11
39.89,44.36,30.38,69.08,0.0,0.0,3,2,45.93,69.08
38.79,44.12,29.52,70.61,0.0,0.0,3,3,45.76,70.61
39.5,42.74,28.75,70.05,0.0,0.0,3,4,45.26,70.05
38.05,43.23,34.97,37.46,63.79,0.0,4,0,43.5,63.79
37.27,46.05,36.67,38.47,67.59,0.0,4,1,45.21,67.59
36.28,46.82,37.56,37.61,69.04,0.0,4,2,45.46,69.04
32.98,46.1,40.21,36.89,72.28,0.0,4,3,45.69,72.28
33.26,47.22,37.04,37.38,74.43,0.0,4,4,45.87,74.43
35.42,42.7,29.23,32.3,42.3,53.91,5,0,39.31,53.91
32.93,42.2,29.44,32.56,41.88,55.62,5,1,39.1,55.62
36.07,39.28,29.26,32.05,40.42,59.29,5,2,39.39,59.29
34.27,38.73,28.73,30.95,41.14,59.78,5,3,38.93,59.78
35.98,39.75,27.17,30.85,40.89,60.95,5,4,39.26,60.95
